"OnlineNews","Volunteered","Election","ImproveCommunity","Responsibility","Differences","OnlineGame","Fighting","Puzzle","Action","1stShooter","Strategy","Simulations","Sports","RolePlay","Adventure","Racing","Rhythm","Survival","VirtualWorld","MMOG","3Games","HowOften","ParentsKnow","ParentsTalk","HelpOthers","LearnProblem","ExploreIssue","MoralIssue","Decisions","ManageGroup","OthersMean","OthersHateful","OthersIntercede","OthersHelpful"
"Yes","No, have not done this","No, have not done this","Strongly agree","Strongly disagree","Strongly agree","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes","Yes","No","No","No","No","MADDEN, NBA LIVE, NASCAR","1-2 days a week","Yes","Yes","Sometimes","Does not apply","Sometimes","Does not apply","Does not apply","Sometimes","Never","Never",,"Never"
"Yes","Yes","Yes","Strongly agree","Disagree","Strongly agree","Yes",,"Yes","No","No","No","Yes","No","No","Yes","Yes","Yes","No","No","No","THE SIMS 2, CRAZY TAXI 4, SIM PETS","Less often","Yes","Yes","Often","Never","Sometimes","Never","Sometimes","Never","Never","Never",,"Don't know"
"Yes","Yes, have done this, but not in last 12 months","No, have not done this","Agree","Agree","Strongly agree","Yes","No","No","Yes","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No","CALL OF DUTY 4, GUITAR HERO 3, ORANGE BOX","1-2 days a week","Yes","No","Does not apply","Sometimes","Sometimes","Never","Sometimes","Never","Never","Never",,"Never"
"Yes","Yes","Yes","Strongly agree","Agree","Strongly agree","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","HALO 3, GUITAR HERO, MARIO GALAXY","3-5 days a week","Yes","Yes","Often","Sometimes","Never","Sometimes","Sometimes","Never","Sometimes","Sometimes","Sometimes","Sometimes"
"Yes","Yes, have done this, but not in last 12 months","No, have not done this","Agree","Disagree","Agree","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","No","No","No","HALO 3, GUITER HERO, BLOON'S POWER DEFENSE 2","About once a day","Yes","No","Often","Never","Never","Never","Never","Never","Never","Never",,"Often"
"No","No, have not done this","Yes","Strongly agree","Disagree","Strongly agree","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","Yes","HALO 3, RAINBOW6, FINAL FANASTY","Several times a day","Yes","Yes","Often","Sometimes","Never","Often","Often","Often","Sometimes","Sometimes","Never","Often"
"Yes","Yes","No, have not done this","Strongly agree","Disagree","Strongly agree","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","GEARS OF WAR, HALO 3, MADDEN 08","Every few weeks","Yes","Yes","Often","Often","Sometimes","Often","Never","Often","Often","Often","Sometimes","Sometimes"
"Yes","Yes, have done this, but not in last 12 months","No, have not done this","Strongly agree","Strongly agree","Strongly agree","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","THE 'SIMS, THE SIMS 2, CREATURES","About once a day","Yes","Yes","Does not apply","Never","Never","Never","Sometimes","Often","Never","Never",,"Often"
"No","No, have not done this","No, have not done this","Strongly agree","Agree","Strongly agree","Yes","No","No","Yes","Yes","No","Yes","Yes","No","No","Yes","No","No","No","No","MEDAL OF HONOR, GUITAR HERO, MADDEN 08","About once a day","Yes","Yes","Sometimes","Does not apply","Does not apply","Sometimes","Does not apply","Never","Sometimes","Sometimes","Sometimes","Sometimes"
,"Yes","No, have not done this","Disagree","Disagree","Agree","No","Yes","No","Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","Yes","HALO 3; GUITAR HERO;|MARIO PARTY","3-5 days a week","Yes","Yes","Sometimes","Often","Sometimes","Sometimes","Never","Sometimes","Never","Never",,"Sometimes"
"No","Yes","No, have not done this","Strongly agree","Disagree","Agree","Yes","No","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","No","No","No","PACMAN, TETRIS","About once a day","Yes","No","Sometimes","Never","Sometimes","Never","Never","Never","Sometimes","Never",,"Sometimes"
"No","Yes","No, have not done this","Strongly agree","Agree","Strongly agree","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","PRO EVOLUTION SOCCER 2007","1-2 days a week","Yes","No","Never","Never","Never","Never","Never","Never","Never","Never",,"Never"
"No","No, have not done this","No, have not done this","Don't know","Don't know","Agree","No","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes","No","No","No","No","DRAGON BALL Z, BUDDHA KAI, TEN KAI EG","Several times a day","Yes","Yes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never",,"Sometimes"
"No","Yes","No, have not done this","Strongly agree","Disagree","Strongly agree","Yes","No","Yes","No","No","Yes","No","Yes","No","Yes","No","No","No","No","No","SODUKO, CROSSWORD PUZZLES, WORD SEARCH","3-5 days a week","Yes","No","Does not apply","Never","Never","Never","Never","Never","Sometimes","Never",,"Sometimes"
,"Yes","No, have not done this","Strongly agree","Strongly agree","Agree","No",,,,,,,,,,,,,"No",," ",,,,,,,,,,,,,
"Yes","No, have not done this","No, have not done this","Agree","Agree","Strongly agree","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","THE SIMS: CASTAWAY","Every few weeks","Yes","Yes","Does not apply","Never","Often","Never","Does not apply","Never","Often","Sometimes","Sometimes","Sometimes"
"No","Yes","No, have not done this","Strongly agree","Strongly agree","Strongly agree","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No","No","TETRIS, MEDAL OF HONOR, NCAA FOOTBALL 07","3-5 days a week","Yes","Yes","Sometimes","Never","Sometimes","Sometimes","Never","Never","Sometimes","Never",,"Often"
"Yes","Yes","Yes","Agree","Agree","Strongly agree","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","HALO 3, CALL OF DUTY 4, TETRIS","Several times a day","Yes","No","Sometimes","Sometimes","Sometimes","Never","Never","Never","Often","Often","Sometimes","Sometimes"
"No","No, have not done this","No, have not done this","Disagree","Agree","Agree","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","No","No","MADDEN, DOUBLE 07","About once a day","No","No","Sometimes","Never","Sometimes","Never","Never","Never","Never","Never",,"Never"
"Yes","Yes","No, have not done this","Strongly agree","Disagree","Strongly agree","Yes","No","Yes","No","No","Yes","No","Yes","No","No","No","No","No","No","No"," ","Less often","Yes","No","Never","Never","Never","Never","Never","Never","Never","Never",,"Sometimes"
"Yes","Yes","No, have not done this","Agree","Agree","Agree","No","No","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","No","Yes","No","No","MARIO KART, TETRIS","1-2 days a week","No","No","Does not apply","Never","Never","Never","Never","Never","Never","Never",,"Often"
"Yes","Yes","No, have not done this","Strongly agree","Strongly agree","Strongly agree","Yes","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","SOLITAIRE, TETRIS, HEARTS","Less often","Yes","No","Never","Never","Never","Never","Never","Never","Never","Never",,"Never"
"Yes","Yes","Yes","Strongly agree","Agree","Agree","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","No","No","MEDAL OF HONOR, FRONTLINE, HALO 2","Every few weeks","Yes","No","Sometimes","Does not apply","Does not apply","Sometimes","Does not apply","Never","Sometimes","Never",,"Sometimes"
"No","Yes","No, have not done this","Strongly agree","Strongly disagree","Strongly agree","Yes","Yes","No","Yes","Yes","No","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","WORLD OF WARCRAFT, HALO 3, RISE OF THE NINJA","About once a day","Yes","Yes","Often","Sometimes","Never","Never","Never","Often","Often","Sometimes","Sometimes","Often"
"Yes","Yes","No, have not done this","Agree","Agree","Strongly agree","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","RAINBOW SIX, MADDEN 08, WORLD OF WARCRAFT","Several times a day","Yes","No","Often","Sometimes","Never","Sometimes","Never","Never","Often","Sometimes","Sometimes","Sometimes"
"Yes","Yes","No, have not done this","Agree","Disagree","Strongly agree","Yes","No","Yes","No","No","No","No","No","No","Yes","Yes","Yes","No","No","No","GUITAR HERO","Every few weeks","Yes","Yes","Does not apply","Does not apply","Never","Sometimes","Never","Never","Never","Never",,"Sometimes"
"No","Yes","No, have not done this","Strongly agree","Strongly disagree","Agree","Yes","No","No","Yes","No","Yes","No","Yes","No","No","Yes","No","No","No","No","STRATEGIC GAMES","Less often","Yes","No","Never","Often","Don't know","Never","Never","Never","Never","Never",,"Sometimes"
"No","No, have not done this","Don't know","Agree","Disagree","Strongly agree","Yes","No","No","Yes","No","Yes","No","No","Yes","Yes","Yes","No","No","No","No","I DON'T KNOW....DON'T PLAY MANY GAMES","Every few weeks","No","Yes","Does not apply","Does not apply","Does not apply","Never","Does not apply","Never","Never","Never",,"Never"
"Yes","Yes","Yes","Strongly agree","Strongly agree","Strongly agree","Yes","No","Yes","No","No","No","No","Yes","No","Yes","Yes","No","No","No","No"," ","Less often","Yes","Yes","Sometimes","Never","Sometimes","Never","Never","Never","Sometimes","Never",,"Sometimes"
,"No, have not done this","No, have not done this","Agree","Disagree","Agree","No","No","Yes","Yes","No","Yes","No","Yes","No","No","Yes","Yes","No","No","No","BURNOUT, DEVIL MAY CRY,  GUITAR HERO","3-5 days a week","No","No","Never","Never","Never","Does not apply","Does not apply","Does not apply","Sometimes","Never",,"Sometimes"
"Yes","No, have not done this","No, have not done this","Strongly agree","Agree","Agree","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","No","No"," ","About once a day","Yes","Yes","Does not apply","Never","Sometimes","Sometimes","Never","Never","Never","Never",,"Sometimes"
,"No, have not done this","No, have not done this","Agree","Agree","Agree","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","No","RATCHET AND CLANK, FROGGER, SPONGEBOB","About once a day","Yes","Yes","Sometimes","Never","Never","Never","Sometimes","Never","Never","Never",,"Never"
"No","Yes, have done this, but not in last 12 months","No, have not done this","Strongly agree","Agree","Agree","No","No","Yes","Yes","No","Yes","No","No","No","No","Yes","No","No","No","No"," ","Every few weeks","Yes","Yes","Never","Never","Never","Never","Never","Never","Never","Never",,"Never"
"Yes","No, have not done this","Yes","Agree","Disagree","Agree","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","ROCK BAND, HALO 3, BIOSHOCK","Several times a day","Yes","Yes","Never","Sometimes","Sometimes","Often","Never","Sometimes","Often","Sometimes","Often","Often"
"Yes","Yes","Yes","Strongly agree","Agree","Agree","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","No","Yes","SOLITAIRE, MARIO KART RACING","About once a day","Yes","Yes","Sometimes","Sometimes","Sometimes","Often","Sometimes","Sometimes","Sometimes","Never",,"Often"
,"Yes","No, have not done this","Agree","Agree","Agree","Yes","No","Yes","Yes","No","No",,"No","No","Yes","Yes","Yes","No","No","No","UNO, MARIO, CAR RACING GAME","Less often","Yes","Yes","Sometimes","Never","Never","Sometimes","Never","Never","Never","Don't know",,"Sometimes"
"Yes","Yes","Yes","Strongly agree","Agree","Strongly agree","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","No","SOLITAIRE, WORD GAMES","3-5 days a week","Yes","No","Never","Sometimes","Never","Sometimes","Sometimes","Never","Often","Never",,"Often"
,"No, have not done this","Yes","Disagree","Agree","Neither agree nor disagree","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","GEARS OF WAR, HALO 3, STARCRAFT","3-5 days a week","Yes","No","Sometimes","Never","Never","Never","Never","Never","Often","Sometimes","Never","Sometimes"
,"Yes","No, have not done this","Strongly agree","Agree","Strongly agree","Yes","No","Yes","No","No","No","Yes","Yes","No","No","Yes","Yes","No","Don't know","No","NARUTO, MARIO KART","1-2 days a week","Yes","Yes","Often","Never","Sometimes","Never","Never","Don't know","Never","Never",,"Often"
"Yes","No, have not done this","No, have not done this","Agree","Disagree","Strongly agree","Yes","No","Yes","No","Yes","No","No","No","No","No","Yes","Yes","No","No","No","SUPER MARIO, DOGS, HALO 03","1-2 days a week","Yes","Yes","Sometimes","Never","Never","Never","Never","Never","Sometimes","Never",,"Never"
"No","No, have not done this","Yes","Agree","Agree","Strongly agree","No","No","No","Yes","Yes","No","No","Yes","No","No","No","No","Yes","No","No","GRAND THEFT AUTO, HALO 2","Several times a day","No","No","Does not apply","Does not apply","Often","Does not apply","Never","Does not apply","Never","Never",,"Never"
,"Yes","No, have not done this","Strongly agree","Disagree","Agree","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","No","Yes","No","No","HALO 3, THE ELDERSCROLLS IV OBLIVION, FINAL FANTSY 2","1-2 days a week","Yes","Yes","Often","Never","Does not apply","Often","Often","Sometimes","Sometimes","Sometimes","Sometimes","Refused"
