"InternetFreq","VisitSocial","ProfileSetting","FutureConcern","KindUnkind","MeanToYou","SocialSite","Chat","StreamVideo","PostComments","PrivateMessage","TagPhoto","PostPhoto","OthersIntercede","YouIntercede","JoinHarassment","SoughtAdvice","AskedWho","Face2FaceArgue","Parents","EndFriendship","Nervous","FeelGood","LieAboutAge","SharePassword"
"Several times a day","Several times a day","Private (friends only)","No","People are mostly unkind","No","Yes","Yes","No, do not","Yes","No","No","Yes","Only once in a while","Only once in a while","Never","Yes","Parent","Yes","No","No","Yes","No","Yes","No"
"Several times a day","Several times a day","Partially private","No","People are mostly kind","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Sometimes","Sometimes","Sometimes","No",,"Yes","No","No","No","Yes","Yes","Yes"
"3-5 days a week",,,"No",,,"No, do not","No, do not","No, do not",,,,,,,,,,,,,,,"Yes","Yes"
"Several times a day","Less often","Public","Yes","People are mostly kind","No","Yes","Yes","No, do not","Yes","No","No","Yes","Sometimes","Sometimes","Never","Yes","Parent","No","No","No","No","Yes","No","No"
"About once a day","Less often","Private (friends only)","No","People are mostly kind","No","Yes","No, do not","No, do not","No","No","No","Yes",,,,,,"No","No","No","No","No","Yes","No"
"About once a day","3-5 days a week","Partially private","No","People are mostly kind","No","Yes","Yes","No, do not","Yes","Yes","Yes","No","Only once in a while","Sometimes","Never","Yes","Friend or peer","No","No","No","No","No","Yes","Yes"
"3-5 days a week","About once a day","Private (friends only)","Yes","People are mostly kind","No","Yes","No, do not","No, do not","Yes","Yes","Yes","No","Frequently","Frequently","Never","Yes","Brother, sister or cousin","No","No","No","No","No","No","No"
"Several times a day","Several times a day","Private (friends only)","Yes","People are mostly kind","No","Yes","No, do not","No, do not","Yes","Yes","Yes","Yes","Only once in a while","Never","Never","No",,"No","No","No","No","Yes","Yes","No"
"Several times a day","Several times a day","Private (friends only)","Yes","People are mostly kind","No","Yes","No, do not","No, do not","Yes","Yes","No","Yes","Never","Never","Never","No",,"No","No","No","No","Yes","Yes","No"
"Several times a day","About once a day","Partially private","Yes","People are mostly unkind","Yes","Yes","No, do not","No, do not","Yes","Yes","No","Yes","Only once in a while","Never","Never","Yes","Friend or peer","Yes","Yes","Yes","No","Yes","No","Yes"
"3-5 days a week","1-2 days a week","Public","No","People are mostly kind","No","Yes","No, do not","No, do not","Yes","Yes","No","Yes",,,,,,"Yes","Yes","No","No","Yes","No","No"
"About once a day","About once a day","Private (friends only)","Yes","People are mostly kind","No","Yes","Yes","No, do not","Yes","Yes","Yes","Yes","Frequently","Sometimes","Never","Yes","Friend or peer","No","No","No","No","Yes","Yes","No"
"About once a day","About once a day","Partially private","Yes","People are mostly kind","No","Yes","No, do not","No, do not","Yes","No","No","Yes","Sometimes","Sometimes","Never","No",,"No","No","No","No","Yes","No","No"
"Several times a day","Several times a day","Private (friends only)","Yes","Depends","Yes","Yes","Yes","No, do not","Yes","No","Don't know","Yes","Only once in a while","Frequently","Only once in a while","Yes","Don't know","Yes","Yes","Yes","No","Yes","No","No"
"3-5 days a week","About once a day","Private (friends only)","Yes","People are mostly kind","No","Yes","No, do not","No, do not","Yes","Yes","No","Yes","Never","Sometimes","Never","Yes","Friend or peer","No","No","No","No","Yes","Yes","Yes"
"Several times a day","Several times a day","Public","Yes","People are mostly unkind","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Sometimes","Only once in a while","Never","No",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"1-2 days a week","3-5 days a week","Partially private","No","People are mostly kind","No","Yes","No, do not","No, do not","No","No","No","No","Sometimes","Sometimes","Never","No",,"No","No","No","No","No","No","No"
"3-5 days a week","1-2 days a week","Public","No","People are mostly kind","No","Yes","No, do not","No, do not","Yes","Yes","Yes","Yes","Never","Never","Never","No",,"No","No","Yes","Yes","Yes","Yes","Yes"
"1-2 days a week",,,"No",,,"No, do not","Yes","No, do not",,,,,,,,,,,,,,,"No","Yes"
"Several times a day","Several times a day","Partially private","No","People are mostly kind","No","Yes","No, do not","No, do not","Yes","Yes","Yes","Yes","Only once in a while","Sometimes","Never","No",,"Yes","No","Yes","No","No","Yes","Yes"
"About once a day","About once a day","Private (friends only)","Yes","People are mostly kind","No","Yes","Yes","Yes","Yes","No","No","Yes","Only once in a while","Only once in a while","Never","No",,"No","No","No","No","No","No","Yes"
"Several times a day","Several times a day","Private (friends only)","Yes","People are mostly unkind","No","Yes","Yes","No, do not","Yes","Yes","Yes","Yes","Sometimes","Sometimes","Never","No",,"No","No","No","No","Yes","Yes","Yes"
"Don't know","3-5 days a week","Partially private","Yes","People are mostly kind","No","Yes","No, do not","No, do not","Yes","Yes","No","No","Never","Only once in a while","Never","No",,"No","No","No","No","Yes","No","No"
"3-5 days a week","3-5 days a week","Private (friends only)","Yes","People are mostly kind","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Only once in a while","Only once in a while","Only once in a while","No",,"No","No","Yes","No","Yes","Yes","Yes"
"Several times a day","About once a day","Private (friends only)","Yes","People are mostly kind","No","Yes","No, do not","No, do not","Yes","Yes","Yes","Yes","Only once in a while","Sometimes","Never","No",,"No","No","No","No","Yes","No","No"
"Several times a day","Several times a day","Private (friends only)","No","People are mostly kind","No","Yes","Yes","No, do not","Yes","Yes","No","Yes","Never","Never","Never","No",,"No","No","No","No","Yes","No","Yes"
"About once a day","3-5 days a week","Private (friends only)","Yes","People are mostly kind","No","Yes","No, do not","No, do not","Yes","Yes","Yes","No","Sometimes","Only once in a while","Never","No",,"No","No","Yes","No","Yes","No","Yes"
"3-5 days a week",,,"No",,,"No, do not","Yes","Yes",,,,,,,,,,,,,,,"No","Yes"
"Several times a day","Several times a day","Private (friends only)","Yes","Depends","No","Yes","No, do not","No, do not","Yes","Yes","Yes","Yes","Never","Frequently","Only once in a while","No",,"No","Don't know","Yes","No","Don't know","Yes","Yes"
"1-2 days a week","1-2 days a week","Private (friends only)","Yes","People are mostly kind","Yes","Yes","No, do not","No, do not","Yes","Yes","Yes","Yes","Sometimes","Sometimes","Never","Yes","Parent","Yes","Yes","No","Yes","Yes","Yes","No"
"1-2 days a week","1-2 days a week","Partially private","No","People are mostly kind","No","Yes","No, do not","No, do not","Yes","Yes","No","No","Never","Only once in a while","Sometimes","Yes","Friend or peer","No","No","No","No","Yes","No","No"
"About once a day",,,"No",,,"No, do not","No, do not","No, do not",,,,,,,,,,,,,,,"No","No"
"Several times a day","About once a day","Public","No","People are mostly unkind","No","Yes","No, do not","No, do not","Yes","No","No","No","Never","Frequently","Never","No",,"No","No","No","Yes","Yes","No","Yes"
"Several times a day","Several times a day","Private (friends only)","No","People are mostly kind","Yes","Yes","No, do not","No, do not","Yes","Yes","Yes","Yes","Only once in a while","Only once in a while","Never","No",,"No","Yes","Yes","No","Yes","Yes","Yes"
