"","year","effort","homework","grades"
"1","Ninth grade","Could try a little harder","About the right amount","B"
"2","Eleventh grade","Trying best to do well in school","Too much homework","B"
"3","Sixth grade","Trying best to do well in school","About the right amount","B"
"4","Ninth grade","Could try a little harder","About the right amount","B"
"5","Ninth grade","Could try a little harder","Too little homework","Less than a C"
"6","Eighth grade","Trying best to do well in school","Too much homework","A"
"7","Eighth grade","Could try a little harder","About the right amount","B"
"8","Tenth grade","Could try a little harder","About the right amount","C"
"9","Eighth grade","Trying best to do well in school","About the right amount","Less than a C"
"10","Eleventh grade","Trying best to do well in school","Too much homework","A"
"11","Seventh grade","Trying best to do well in school","Too much homework","A"
"12","Ninth grade","Trying best to do well in school","About the right amount","A"
"13","Tenth grade","Trying best to do well in school","Too little homework","Less than a C"
"14","Tenth grade","Could try a little harder","About the right amount","B"
"15","Eleventh grade","Could try a little harder","About the right amount","B"
"16","Ninth grade","Trying best to do well in school","About the right amount","A"
"17","Twelfth grade","Trying best to do well in school","About the right amount","B"
"18","Eleventh grade","Trying best to do well in school","Too little homework","C"
"19","Eighth grade","Trying best to do well in school","Too little homework","A"
"20","Ninth grade","Could try a little harder","About the right amount","B"
"21","Seventh grade","Could try a little harder","Too much homework","C"
"22","Seventh grade","Trying best to do well in school","About the right amount","B"
"23","Eleventh grade","Could try a little harder","About the right amount","C"
"24","Twelfth grade","Could try a little harder","About the right amount","B"
"25","Sixth grade","Could try a little harder","About the right amount","B"
"26","Seventh grade","Trying best to do well in school","About the right amount","A"
"27","Eleventh grade","Could try a little harder","About the right amount","Less than a C"
"28","Tenth grade","Trying best to do well in school","Too much homework","A"
"29","Eighth grade","Trying best to do well in school","About the right amount","A"
"30","Eleventh grade","Could try a little harder","Too much homework","C"
"31","Ninth grade","Trying best to do well in school","About the right amount","C"
"32","Tenth grade","Could try a little harder","About the right amount","B"
"33","Eleventh grade","Could try a little harder","Too little homework","B"
"34","Eighth grade","Trying best to do well in school","About the right amount","A"
"35","Seventh grade","Trying best to do well in school","About the right amount","B"
"36","Ninth grade","Could try a little harder","About the right amount","B"
"37","Eighth grade","Trying best to do well in school","Too much homework","B"
"38","Eleventh grade","Trying best to do well in school","About the right amount","B"
"39","Seventh grade","Could try a little harder","Too much homework","B"
"40","Eleventh grade","Could try a little harder","About the right amount","C"
"41","Sixth grade","Trying best to do well in school","Too much homework","A"
"42","Sixth grade","Could try a little harder","Too much homework","A"
"43","Seventh grade","Could try a little harder","About the right amount","B"
"44","Eleventh grade","Could try a little harder","About the right amount","B"
"45","Eleventh grade","Could try a little harder","About the right amount","C"
"46","Eighth grade","Could try a little harder","Too much homework","B"
"47","Sixth grade","Could try a little harder","About the right amount","B"
"48","Seventh grade","Trying best to do well in school","About the right amount","Less than a C"
"49","Eleventh grade","Could try a little harder","About the right amount","C"
"50","Tenth grade","Trying best to do well in school","Too much homework","B"
"51","Eighth grade","Could try a little harder","Too much homework","B"
"52","Eighth grade","Could try a little harder","Too little homework","B"
"53","Seventh grade","Could try a little harder","Too much homework","A"
"54","Sixth grade","Trying best to do well in school","Too much homework","A"
"55","Eighth grade","Could try a little harder","About the right amount","B"
"56","Ninth grade","Could try a little harder","About the right amount","B"
"57","Eighth grade","Could try a little harder","About the right amount","Less than a C"
"58","Eleventh grade","Trying best to do well in school","About the right amount","B"
"59","Tenth grade","Trying best to do well in school","About the right amount","B"
"60","Sixth grade","Trying best to do well in school","About the right amount","B"
"61","Ninth grade","Could try a little harder","About the right amount","A"
"62","Ninth grade","Could try a little harder","Too much homework","Less than a C"
"63","Eleventh grade","Could try a little harder","Too much homework","B"
"64","Eighth grade","Could try a little harder","Too much homework","Less than a C"
"65","Twelfth grade","Trying best to do well in school","About the right amount","B"
"66","Twelfth grade","Could try a little harder","About the right amount","A"
"67","Eleventh grade","Could try a little harder","About the right amount","C"
"68","Ninth grade","Could try a little harder","Too little homework","A"
"69","Eleventh grade","Could try a little harder","About the right amount","B"
"70","Tenth grade","Trying best to do well in school","About the right amount","B"
"71","Eighth grade","Could try a little harder","About the right amount","C"
"72","Eighth grade","Could try a little harder","Too much homework","B"
"73","Twelfth grade","Could try a little harder","About the right amount","B"
"74","Seventh grade","Trying best to do well in school","About the right amount","A"
"75","Seventh grade","Trying best to do well in school","About the right amount","A"
"76","Eighth grade","Could try a little harder","About the right amount","A"
"77","Eleventh grade","Trying best to do well in school","Too much homework","A"
"78","Ninth grade","Could try a little harder","About the right amount","C"
"79","Sixth grade","Could try a little harder","About the right amount","B"
"80","Tenth grade","Trying best to do well in school","About the right amount","A"
"81","Twelfth grade","Trying best to do well in school","About the right amount","B"
"82","Eleventh grade","Trying best to do well in school","Too much homework","A"
"83","Tenth grade","Trying best to do well in school","About the right amount","A"
"84","Ninth grade","Trying best to do well in school","About the right amount","A"
"85","Ninth grade","Trying best to do well in school","Too much homework","A"
"86","Tenth grade","Trying best to do well in school","Too much homework","B"
"87","Seventh grade","Could try a little harder","About the right amount","C"
"88","Ninth grade","Trying best to do well in school","About the right amount","B"
"89","Twelfth grade","Could try a little harder","About the right amount","C"
"90","Seventh grade","Trying best to do well in school","About the right amount","A"
"91","Tenth grade","Trying best to do well in school","About the right amount","A"
"92","Seventh grade","Could try a little harder","About the right amount","A"
"93","Twelfth grade","Could try a little harder","About the right amount","C"
"94","Ninth grade","Could try a little harder","About the right amount","B"
"95","Seventh grade","Trying best to do well in school","About the right amount","B"
"96","Seventh grade","Trying best to do well in school","About the right amount","A"
"97","Sixth grade","Could try a little harder","About the right amount","B"
"98","Eighth grade","Trying best to do well in school","About the right amount","Less than a C"
"99","Seventh grade","Trying best to do well in school","About the right amount","A"
"100","Eighth grade","Trying best to do well in school","About the right amount","A"
"101","Tenth grade","Could try a little harder","Too much homework","A"
"102","Eleventh grade","Could try a little harder","About the right amount","B"
"103","Twelfth grade","Could try a little harder","About the right amount","B"
"104","Ninth grade","Trying best to do well in school","About the right amount","C"
"105","Eleventh grade","Trying best to do well in school","About the right amount","A"
"106","Eighth grade","Could try a little harder","Too much homework","C"
"107","Eleventh grade","Could try a little harder","About the right amount","C"
"108","Twelfth grade","Trying best to do well in school","About the right amount","A"
"109","Twelfth grade","Trying best to do well in school","About the right amount","B"
"110","Ninth grade","Could try a little harder","About the right amount","B"
"111","Eighth grade","Could try a little harder","About the right amount","B"
"112","Sixth grade","Could try a little harder","About the right amount","A"
"113","Twelfth grade","Trying best to do well in school","About the right amount","B"
"114","Tenth grade","Could try a little harder","About the right amount","C"
"115","Ninth grade","Could try a little harder","Too little homework","B"
"116","Sixth grade","Could try a little harder","About the right amount","C"
"117","Eleventh grade","Could try a little harder","About the right amount","C"
"118","Eighth grade","Could try a little harder","About the right amount","B"
"119","Twelfth grade","Trying best to do well in school","About the right amount","A"
"120","Eleventh grade","Could try a little harder","About the right amount","A"
"121","Eleventh grade","Trying best to do well in school","About the right amount","C"
"122","Tenth grade","Could try a little harder","About the right amount","Less than a C"
"123","Seventh grade","Could try a little harder","About the right amount","B"
"124","Seventh grade","Could try a little harder","About the right amount","B"
"125","Eighth grade","Could try a little harder","About the right amount","A"
"126","Tenth grade","Trying best to do well in school","Too much homework","A"
"127","Eleventh grade","Could try a little harder","Too much homework","Less than a C"
"128","Tenth grade","Trying best to do well in school","About the right amount","B"
"129","Seventh grade","Could try a little harder","About the right amount","C"
"130","Tenth grade","Could try a little harder","Too much homework","B"
"131","Seventh grade","Trying best to do well in school","About the right amount","A"
"132","Eighth grade","Could try a little harder","Too much homework","B"
"133","Seventh grade","Trying best to do well in school","About the right amount","A"
"134","Tenth grade","Trying best to do well in school","About the right amount","A"
"135","Eleventh grade","Trying best to do well in school","About the right amount","B"
"136","Twelfth grade","Trying best to do well in school","About the right amount","A"
"137","Seventh grade","Trying best to do well in school","About the right amount","A"
"138","Twelfth grade","Could try a little harder","About the right amount","B"
"139","Sixth grade","Could try a little harder","About the right amount","B"
"140","Ninth grade","Trying best to do well in school","About the right amount","A"
"141","Eighth grade","Could try a little harder","About the right amount","C"
"142","Eighth grade","Trying best to do well in school","About the right amount","A"
"143","Seventh grade","Could try a little harder","About the right amount","C"
"144","Sixth grade","Trying best to do well in school","About the right amount","A"
"145","Tenth grade","Could try a little harder","About the right amount","C"
"146","Eleventh grade","Could try a little harder","Too much homework","C"
"147","Twelfth grade","Could try a little harder","Too little homework","B"
"148","Ninth grade","Could try a little harder","Too much homework","Less than a C"
"149","Ninth grade","Could try a little harder","About the right amount","B"
"150","Seventh grade","Could try a little harder","About the right amount","A"
"151","Ninth grade","Could try a little harder","About the right amount","B"
"152","Eighth grade","Could try a little harder","Too much homework","A"
"153","Ninth grade","Could try a little harder","Too much homework","B"
"154","Eighth grade","Trying best to do well in school","About the right amount","C"
"155","Sixth grade","Trying best to do well in school","About the right amount","C"
"156","Ninth grade","Could try a little harder","About the right amount","A"
"157","Sixth grade","Could try a little harder","Too much homework","B"
"158","Eighth grade","Trying best to do well in school","Too little homework","C"
"159","Twelfth grade","Trying best to do well in school","About the right amount","B"
"160","Eleventh grade","Trying best to do well in school","Too much homework","A"
"161","Tenth grade","Could try a little harder","About the right amount","A"
"162","Ninth grade","Could try a little harder","Too little homework","B"
"163","Eighth grade","Trying best to do well in school","About the right amount","C"
"164","Eighth grade","Could try a little harder","About the right amount","C"
"165","Seventh grade","Could try a little harder","About the right amount","B"
"166","Twelfth grade","Could try a little harder","About the right amount","B"
"167","Sixth grade","Could try a little harder","Too much homework","B"
"168","Twelfth grade","Trying best to do well in school","Too much homework","B"
"169","Tenth grade","Could try a little harder","Too little homework","C"
"170","Tenth grade","Trying best to do well in school","Too much homework","C"
"171","Sixth grade","Trying best to do well in school","About the right amount","A"
"172","Eleventh grade","Could try a little harder","About the right amount","A"
"173","Tenth grade","Could try a little harder","About the right amount","C"
"174","Seventh grade","Could try a little harder","About the right amount","A"
"175","Ninth grade","Trying best to do well in school","About the right amount","B"
"176","Tenth grade","Trying best to do well in school","Too much homework","C"
"177","Tenth grade","Trying best to do well in school","About the right amount","A"
"178","Twelfth grade","Could try a little harder","About the right amount","A"
"179","Eleventh grade","Could try a little harder","Too much homework","B"
"180","Seventh grade","Trying best to do well in school","About the right amount","A"
"181","Eighth grade","Could try a little harder","Too much homework","C"
"182","Tenth grade","Trying best to do well in school","Too much homework","A"
"183","Ninth grade","Trying best to do well in school","About the right amount","B"
"184","Ninth grade","Could try a little harder","About the right amount","B"
"185","Seventh grade","Trying best to do well in school","About the right amount","A"
"186","Eighth grade","Trying best to do well in school","About the right amount","A"
"187","Ninth grade","Could try a little harder","About the right amount","B"
"188","Eleventh grade","Trying best to do well in school","About the right amount","A"
"189","Tenth grade","Trying best to do well in school","Too much homework","A"
"190","Tenth grade","Trying best to do well in school","About the right amount","A"
"191","Ninth grade","Could try a little harder","Too much homework","A"
"192","Tenth grade","Trying best to do well in school","About the right amount","A"
"193","Twelfth grade","Trying best to do well in school","About the right amount","B"
"194","Tenth grade","Could try a little harder","About the right amount","C"
"195","Eighth grade","Trying best to do well in school","About the right amount","B"
"196","Eleventh grade","Could try a little harder","About the right amount","C"
"197","Ninth grade","Trying best to do well in school","Too much homework","B"
"198","Eighth grade","Could try a little harder","Too little homework","C"
"199","Tenth grade","Could try a little harder","Too little homework","B"
"200","Eleventh grade","Trying best to do well in school","About the right amount","B"
"201","Seventh grade","Trying best to do well in school","Too little homework","A"
"202","Twelfth grade","Trying best to do well in school","Too much homework","B"
"203","Seventh grade","Trying best to do well in school","About the right amount","B"
"204","Ninth grade","Could try a little harder","Too little homework","B"
"205","Ninth grade","Trying best to do well in school","About the right amount","A"
"206","Twelfth grade","Could try a little harder","Too much homework","B"
"207","Sixth grade","Trying best to do well in school","About the right amount","A"
"208","Eighth grade","Could try a little harder","About the right amount","A"
"209","Ninth grade","Trying best to do well in school","About the right amount","C"
"210","Eleventh grade","Trying best to do well in school","Too much homework","A"
"211","Eleventh grade","Could try a little harder","About the right amount","C"
"212","Eleventh grade","Could try a little harder","About the right amount","A"
"213","Tenth grade","Could try a little harder","About the right amount","C"
"214","Eighth grade","Could try a little harder","About the right amount","A"
"215","Seventh grade","Trying best to do well in school","Too much homework","A"
"216","Ninth grade","Trying best to do well in school","About the right amount","A"
"217","Tenth grade","Trying best to do well in school","About the right amount","C"
"218","Eleventh grade","Trying best to do well in school","Too much homework","C"
"219","Seventh grade","Trying best to do well in school","About the right amount","A"
"220","Tenth grade","Could try a little harder","About the right amount","B"
"221","Ninth grade","Trying best to do well in school","About the right amount","C"
"222","Eighth grade","Could try a little harder","About the right amount","Less than a C"
"223","Eighth grade","Trying best to do well in school","About the right amount","A"
"224","Sixth grade","Trying best to do well in school","Too little homework","B"
"225","Twelfth grade","Trying best to do well in school","About the right amount","B"
"226","Eleventh grade","Could try a little harder","Too much homework","B"
