"","created","created.date.format","username","longitude","latitude","search_term","message"
"345",1238790862,"4/3/2009","Hello Beautiful",-73.986951,40.756054,"Spring is here","FANTASY FRIDAY: BBQ Grill Table: Now that spring is here and summer is right around the corner. were gett.. http://tinyurl.com/ckq7ck"
"232",1238792042,"4/3/2009","Michael Belini",-74.437258,39.360334,"Spring is here","Spring is here! All the seeds. bulbs. perennials and ornamentals to make your yard and garden more beautiful; http://tinyurl.com/cnffbl"
"226",1238792345,"4/3/2009","soxthekitty",-73.986951,40.756054,"Spring is here","A flock of over 20 turkey vultures just came flying into our woods. That means spring is here and the birds are back.."
"224",1238792614,"4/3/2009","George Zacieracha",-74.477975,40.797536,"Spring is here","Spring is here &amp; it's t-shirt time. For April 2009. get a spec sample t-shirt for $5. printed with your logo on a white Beefy-T ($20.val"
"212",1238793573,"4/3/2009","Camille",-75.163808,39.951639,"Spring is here","Just glanced out my window. They r testing the water in Swann Fountain (Logan Circle) on Benjamin Franklin Parkway. "
"179",1238798406,"4/3/2009","AGUnit",-73.729607,40.617711,"Spring is here","spring is here! you can feel it in the air. &quot;heart attack&quot; will be up this week. we promise. she needs some mixing and some spring"
"166",1238800328,"4/3/2009"," Bernie Madoff",-73.986951,40.756054,"Spring is here","SPRING IS HERE. TIME TO GET THOSE WEDDING &amp; BAR MITZVAH PHOTOS DONE. http://www.myspace.com/tcmphotography DON'T SETTLE 4 LESS!"
"158",1238802607,"4/3/2009","Tawfeeq Gaines ",-75.199951,39.973778,"Spring is here","A new shipment just arrived at the airport. Spring is here. give your closet a make over. Come fly with us at Kamouflage.."
"130",1238808174,"4/3/2009","AlHazred",-74.4056612,40.0583238,"Spring is here","http://twitpic.com/2rtkr Spring is here!"
"113",1238811265,"4/3/2009","MODELBRIDE",-74.383425,40.740901,"Spring is here","Spring is here and so is Wedding Season!"
"86",1238816021,"4/3/2009","Chelsea Piers",-73.986951,40.756054,"Spring is here","Spring is here! Join the Sports Center. NYs "
"61",1238819634,"4/3/2009","Kevin Thomas",-74.4056612,40.0583238,"Spring is here","Going to the beach for the weekend. Spring is here. I'll check twitter there to see if anyone needs help with their mlm business"
"55",1238820900,"4/3/2009","Steven Johnson",-73.971043,40.675234,"Spring is here","Grilling steaks and enjoying the Tulip Magnolia about to pop in our Brooklyn backyard. Spring is here! http://twitpic.com/2s50a"
"47",1238821750,"4/3/2009","Stacy Solomon",-73.986951,40.756054,"Spring is here","@Eliyahna It's great to see you on Twitter! I will be following your updates. Spring is here...YAY!"
"25",1238828794,"4/4/2009","Adam Turinas",-74.0652616,40.7173201,"Spring is here","Watching the Yankees. Spring is here for real."
"3",1238836314,"4/4/2009","Gonzalo Garcia",-73.986951,40.756054,"Spring is here","Ants are starting to invade my bathroom. Guess that means spring is here. Grrrrr"
"231",1238879908,"4/4/2009","Michael Belini",-74.437258,39.360334,"Spring is here","Spring is here! All the seeds. bulbs. perennials and ornamentals to make your yard and garden more beautiful; http://tinyurl.com/cnffbl"
"230",1239072478,"4/6/2009","Michael Belini",-74.437258,39.360334,"Spring is here","Spring is here! All the seeds. bulbs. perennials and ornamentals to make your yard and garden more beautiful; http://tinyurl.com/cnffbl"
