Age,Gender,Grade,DaysActive,HrsSleep,DaysBreakfast,Weight,DaysPE,PlaySports,StrengthTrain,VideoGames,HoursTV,FruitJuice,Milk,Soda,Fasted
14 years old,Female,9th grade,2 days,6 hours,7 days,About the right weight,5 days,0 teams,0 days,I do not play video or computer games or use a computer for something that is not school work,I do not watch TV on an average school day,I did not drink 100% fruit juice during the past 7 days,I did not drink milk during the past 7 days,I did not drink soda or pop during the past 7 days,No
14 years old,Female,9th grade,1 day,6 hours,0 days,About the right weight,0 days,0 teams,0 days,Less than 1 hour per day,3 hours per day,1 to 3 times during the past 7 days,1 glass per day,1 time per day,No
15 years old,Female,9th grade,0 days,7 hours,4 days,About the right weight,0 days,1 team,0 days,5 or more hours per day,3 hours per day,2 times per day,2 glasses per day,1 to 3 times during the past 7 days,No
16 years old,Female,9th grade,2 days,6 hours,2 days,Very overweight,2 days,0 teams,1 day,5 or more hours per day,2 hours per day,1 to 3 times during the past 7 days,1 to 3 glasses during the past 7 days,4 or more times per day,No
15 years old,Male,9th grade,6 days,8 hours,7 days,Slightly underweight,0 days,0 teams,0 days,Less than 1 hour per day,2 hours per day,1 to 3 times during the past 7 days,1 glass per day,4 to 6 times during the past 7 days,No
15 years old,Male,9th grade,5 days,9 hours,6 days,About the right weight,5 days,0 teams,4 days,2 hours per day,2 hours per day,4 to 6 times during the past 7 days,1 glass per day,4 to 6 times during the past 7 days,No
15 years old,Female,9th grade,4 days,7 hours,0 days,About the right weight,0 days,0 teams,4 days,1 hour per day,1 hour per day,4 to 6 times during the past 7 days,I did not drink milk during the past 7 days,4 to 6 times during the past 7 days,No
16 years old,Female,9th grade,1 day,5 hours,0 days,About the right weight,5 days,0 teams,2 days,1 hour per day,2 hours per day,I did not drink 100% fruit juice during the past 7 days,I did not drink milk during the past 7 days,4 or more times per day,Yes
15 years old,Male,9th grade,7 days,6 hours,1 day,About the right weight,5 days,2 teams,4 days,1 hour per day,3 hours per day,I did not drink 100% fruit juice during the past 7 days,3 glasses per day,4 or more times per day,No
15 years old,Female,9th grade,7 days,8 hours,0 days,Slightly overweight,5 days,1 team,3 days,I do not play video or computer games or use a computer for something that is not school work,Less than 1 hour per day,3 times per day,2 glasses per day,3 times per day,Yes
15 years old,Female,9th grade,5 days,9 hours,7 days,Slightly overweight,5 days,0 teams,5 days,1 hour per day,4 hours per day,4 to 6 times during the past 7 days,I did not drink milk during the past 7 days,4 to 6 times during the past 7 days,No
15 years old,Male,9th grade,6 days,7 hours,7 days,Slightly overweight,0 days,1 team,4 days,Less than 1 hour per day,3 hours per day,4 to 6 times during the past 7 days,4 to 6 glasses during the past 7 days,I did not drink soda or pop during the past 7 days,No
15 years old,Male,9th grade,2 days,8 hours,6 days,Slightly overweight,0 days,0 teams,0 days,1 hour per day,2 hours per day,1 to 3 times during the past 7 days,I did not drink milk during the past 7 days,1 time per day,No
15 years old,Male,9th grade,3 days,6 hours,0 days,About the right weight,0 days,0 teams,0 days,3 hours per day,2 hours per day,I did not drink 100% fruit juice during the past 7 days,4 to 6 glasses during the past 7 days,4 or more times per day,No
